text,rating,title,date,source,scraped_at,cleaned_text,processed_text,sentiment
Complete waste of money.,2,Could be better,"December 05, 2024",amazon,2025-04-05T21:59:51.891519,complete waste of money,complete waste money,negative
Complete waste of money.,2,Not bad,"December 18, 2024",amazon,2025-04-05T21:59:51.891519,complete waste of money,complete waste money,negative
Disappointed with this product.,1,Could be better,"August 19, 2024",amazon,2025-04-05T21:59:51.891519,disappointed with this product,disappointed product,negative
Average quality for the price.,3,Not bad,"February 26, 2025",amazon,2025-04-05T21:59:51.891519,average quality for the price,average quality price,neutral
Exactly what I was looking for.,5,Good product,"December 17, 2024",amazon,2025-04-05T21:59:51.891519,exactly what i was looking for,exactly looking,positive
Exactly what I was looking for.,4,Exactly as described,"October 06, 2024",amazon,2025-04-05T21:59:51.891519,exactly what i was looking for,exactly looking,positive
"It's okay, nothing special.",3,Exactly as described,"February 19, 2025",amazon,2025-04-05T21:59:51.891519,its okay nothing special,okay nothing special,neutral
Complete waste of money.,2,Exactly as described,"December 08, 2024",amazon,2025-04-05T21:59:51.891519,complete waste of money,complete waste money,negative
"Does the job, but could be better.",3,Exactly as described,"August 03, 2024",amazon,2025-04-05T21:59:51.891519,does the job but could be better,job could better,neutral
Not worth the money at all.,2,Not bad,"April 04, 2025",amazon,2025-04-05T21:59:51.891519,not worth the money at all,worth money,negative
Would not recommend to anyone.,2,Exactly as described,"August 10, 2024",amazon,2025-04-05T21:59:51.891519,would not recommend to anyone,would recommend anyone,negative
Average quality for the price.,3,Could be better,"March 15, 2025",amazon,2025-04-05T21:59:51.891519,average quality for the price,average quality price,neutral
Average quality for the price.,3,Works well,"April 21, 2024",amazon,2025-04-05T21:59:51.891519,average quality for the price,average quality price,neutral
Would not recommend to anyone.,2,Works well,"February 10, 2025",amazon,2025-04-05T21:59:51.892518,would not recommend to anyone,would recommend anyone,negative
Not worth the money at all.,2,Could be better,"February 02, 2025",amazon,2025-04-05T21:59:51.892518,not worth the money at all,worth money,negative
Great quality and fast delivery.,5,Works well,"May 19, 2024",amazon,2025-04-05T21:59:51.892518,great quality and fast delivery,great quality fast delivery,positive
Great quality and fast delivery.,5,Works well,"January 10, 2025",amazon,2025-04-05T21:59:51.892518,great quality and fast delivery,great quality fast delivery,positive
"It's okay, nothing special.",3,Good product,"December 29, 2024",amazon,2025-04-05T21:59:51.892518,its okay nothing special,okay nothing special,neutral
"It's okay, nothing special.",3,Could be better,"October 30, 2024",amazon,2025-04-05T21:59:51.892518,its okay nothing special,okay nothing special,neutral
Disappointed with this product.,2,Could be better,"March 10, 2025",amazon,2025-04-05T21:59:51.892518,disappointed with this product,disappointed product,negative
Great quality and fast delivery.,5,Not bad,"July 25, 2024",amazon,2025-04-05T21:59:51.892518,great quality and fast delivery,great quality fast delivery,positive
"Not bad, but not great either.",3,Good product,"June 25, 2024",amazon,2025-04-05T21:59:51.892518,not bad but not great either,bad great either,neutral
Great quality and fast delivery.,4,Exactly as described,"May 16, 2024",amazon,2025-04-05T21:59:51.892518,great quality and fast delivery,great quality fast delivery,positive
