text,rating,title,date,source,scraped_at
Disappointed with this product.,1,Good product,"May 27, 2024",amazon,2025-04-05T23:23:23.428561
"It's okay, nothing special.",3,Could be better,"September 22, 2024",amazon,2025-04-05T23:23:23.428561
"Not bad, but not great either.",3,Exactly as described,"August 25, 2024",amazon,2025-04-05T23:23:23.428561
Disappointed with this product.,1,Exactly as described,"March 15, 2025",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,4,Good product,"April 05, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,5,Good product,"July 01, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,4,Works well,"August 06, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,2,Could be better,"March 02, 2025",amazon,2025-04-05T23:23:23.428561
"It's okay, nothing special.",3,Good product,"April 06, 2024",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,2,Could be better,"September 21, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,2,Exactly as described,"April 20, 2024",amazon,2025-04-05T23:23:23.428561
"It's okay, nothing special.",3,Exactly as described,"September 26, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,2,Works well,"December 18, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,5,Exactly as described,"September 13, 2024",amazon,2025-04-05T23:23:23.428561
"Does the job, but could be better.",3,Good product,"December 05, 2024",amazon,2025-04-05T23:23:23.428561
"Not bad, but not great either.",3,Exactly as described,"November 12, 2024",amazon,2025-04-05T23:23:23.428561
"Does the job, but could be better.",3,Could be better,"August 25, 2024",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,1,Not bad,"February 19, 2025",amazon,2025-04-05T23:23:23.428561
Disappointed with this product.,2,Good product,"October 15, 2024",amazon,2025-04-05T23:23:23.428561
"Not bad, but not great either.",3,Works well,"November 29, 2024",amazon,2025-04-05T23:23:23.428561
This product is amazing! I love it!,5,Not bad,"January 27, 2025",amazon,2025-04-05T23:23:23.428561
Would not recommend to anyone.,2,Could be better,"August 22, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,4,Could be better,"February 23, 2025",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Works well,"September 12, 2024",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Could be better,"November 12, 2024",amazon,2025-04-05T23:23:23.428561
Product works as expected.,3,Could be better,"July 05, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,1,Exactly as described,"September 11, 2024",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,1,Exactly as described,"June 05, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,5,Good product,"December 11, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,5,Works well,"October 30, 2024",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,2,Good product,"April 13, 2024",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Exactly as described,"April 22, 2024",amazon,2025-04-05T23:23:23.428561
Would not recommend to anyone.,1,Exactly as described,"October 21, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,4,Not bad,"August 27, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,2,Not bad,"September 29, 2024",amazon,2025-04-05T23:23:23.428561
Disappointed with this product.,2,Works well,"February 20, 2025",amazon,2025-04-05T23:23:23.428561
"Does the job, but could be better.",3,Good product,"April 13, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,4,Could be better,"October 02, 2024",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Could be better,"February 19, 2025",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,2,Exactly as described,"January 13, 2025",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,4,Good product,"February 18, 2025",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,2,Works well,"July 14, 2024",amazon,2025-04-05T23:23:23.428561
Product works as expected.,3,Could be better,"August 14, 2024",amazon,2025-04-05T23:23:23.428561
"Does the job, but could be better.",3,Good product,"July 01, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,5,Could be better,"February 21, 2025",amazon,2025-04-05T23:23:23.428561
Product works as expected.,3,Not bad,"July 01, 2024",amazon,2025-04-05T23:23:23.428561
Exactly what I was looking for.,5,Could be better,"April 27, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,4,Exactly as described,"March 24, 2025",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,1,Exactly as described,"October 25, 2024",amazon,2025-04-05T23:23:23.428561
Would not recommend to anyone.,2,Works well,"July 04, 2024",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Could be better,"November 12, 2024",amazon,2025-04-05T23:23:23.428561
This product is amazing! I love it!,5,Exactly as described,"March 23, 2025",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,2,Works well,"November 15, 2024",amazon,2025-04-05T23:23:23.428561
Disappointed with this product.,2,Not bad,"August 07, 2024",amazon,2025-04-05T23:23:23.428561
Exactly what I was looking for.,5,Not bad,"December 21, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,4,Could be better,"July 05, 2024",amazon,2025-04-05T23:23:23.428561
"Not bad, but not great either.",3,Good product,"February 02, 2025",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,2,Exactly as described,"August 02, 2024",amazon,2025-04-05T23:23:23.428561
"Does the job, but could be better.",3,Not bad,"June 03, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,1,Good product,"April 12, 2024",amazon,2025-04-05T23:23:23.428561
Would not recommend to anyone.,1,Good product,"March 01, 2025",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,5,Works well,"October 25, 2024",amazon,2025-04-05T23:23:23.428561
This product is amazing! I love it!,4,Not bad,"November 14, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,5,Could be better,"November 21, 2024",amazon,2025-04-05T23:23:23.428561
"Not bad, but not great either.",3,Good product,"June 20, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,5,Not bad,"October 09, 2024",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Could be better,"November 19, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,4,Good product,"November 18, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,4,Could be better,"September 08, 2024",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,1,Could be better,"March 29, 2025",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,2,Not bad,"October 09, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,5,Not bad,"January 31, 2025",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,4,Good product,"May 12, 2024",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,1,Exactly as described,"May 06, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,4,Could be better,"September 08, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,5,Not bad,"May 27, 2024",amazon,2025-04-05T23:23:23.428561
Exactly what I was looking for.,5,Not bad,"February 28, 2025",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Exactly as described,"November 16, 2024",amazon,2025-04-05T23:23:23.428561
Average quality for the price.,3,Works well,"August 11, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,5,Could be better,"November 06, 2024",amazon,2025-04-05T23:23:23.428561
Not worth the money at all.,1,Good product,"December 09, 2024",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,1,Could be better,"March 14, 2025",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,5,Not bad,"February 08, 2025",amazon,2025-04-05T23:23:23.428561
"It's okay, nothing special.",3,Good product,"July 15, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,5,Could be better,"June 04, 2024",amazon,2025-04-05T23:23:23.428561
"Not bad, but not great either.",3,Could be better,"January 06, 2025",amazon,2025-04-05T23:23:23.428561
"Does the job, but could be better.",3,Good product,"April 16, 2024",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,4,Exactly as described,"March 22, 2025",amazon,2025-04-05T23:23:23.428561
Best purchase I've made in a while.,5,Could be better,"December 23, 2024",amazon,2025-04-05T23:23:23.428561
Great quality and fast delivery.,5,Could be better,"March 16, 2025",amazon,2025-04-05T23:23:23.428561
Complete waste of money.,2,Good product,"June 08, 2024",amazon,2025-04-05T23:23:23.428561
Highly recommend this product.,5,Not bad,"December 20, 2024",amazon,2025-04-05T23:23:23.428561
Poor quality and slow delivery.,2,Could be better,"October 03, 2024",amazon,2025-04-05T23:23:23.429635
Disappointed with this product.,2,Works well,"December 13, 2024",amazon,2025-04-05T23:23:23.429635
"Not bad, but not great either.",3,Works well,"October 01, 2024",amazon,2025-04-05T23:23:23.429635
Highly recommend this product.,4,Works well,"January 14, 2025",amazon,2025-04-05T23:23:23.429635
Exactly what I was looking for.,4,Good product,"May 30, 2024",amazon,2025-04-05T23:23:23.429635
Best purchase I've made in a while.,5,Works well,"November 18, 2024",amazon,2025-04-05T23:23:23.429635
Disappointed with this product.,1,Could be better,"August 25, 2024",amazon,2025-04-05T23:23:23.429635
Disappointed with this product.,1,Works well,"February 04, 2025",amazon,2025-04-05T23:23:23.429635
